County,"Registered Voters","Active Voters","Inactive Voters","Total Ballots Cast"
"Precinct 1330716725","1,245","1,089",156,588
"Precinct 1330716726","1,248","1,099",149,644
"Precinct 1330716727","1,260","1,121",139,695
"Precinct 1330716728","1,812","1,530",282,896
"Precinct 1330716729","2,332","2,090",242,"1,408"
"Precinct 1330716730","1,776","1,634",142,"1,217"
"Precinct 1330716731","1,674","1,456",218,972
"Precinct 1330716732","1,054",922,132,592
"Precinct 1330716733","1,887","1,494",393,948
"Precinct 1330716734","1,502","1,217",285,691
"Precinct 1330716735","1,160",999,161,649
"Precinct 1330716736","1,029",897,132,545
"Precinct 1330716737","1,139",995,144,627
"Precinct 1330716738","1,173","1,062",111,642
"Precinct 1330716739","1,142","1,008",134,616
"Precinct 1330716740","1,133","1,012",121,640
"Precinct 1330716741","1,222","1,046",176,643
"Precinct 1330716742",882,712,170,438
"Precinct 1330716743",961,900,61,828
"Precinct 1330716744","1,872","1,660",212,"1,372"
"Precinct 1330716745","1,728","1,667",61,"1,450"
"Precinct 1330716746",755,750,5,643
"Precinct 1330816801","1,142",942,200,623
"Precinct 1330816802","1,100",988,112,689
"Precinct 1330816803","1,135",997,138,592
"Precinct 1330816804","1,009",874,135,630
"Precinct 1330816805","1,073",902,171,563
"Precinct 1330816806","1,474","1,215",259,858
"Precinct 1330816807","1,939","1,640",299,"1,043"
"Precinct 1330816808","1,865","1,563",302,"1,015"
"Precinct 1330816810","1,856","1,545",311,"1,130"
"Precinct 1330816811","1,274","1,063",211,780
"Precinct 1330816812","1,293","1,091",202,811
"Precinct 1330816813","1,303","1,110",193,730
"Precinct 1330816814","1,007",890,117,685
"Precinct 1330816815","1,000",880,120,700
"Precinct 1330816816",959,846,113,666
"Precinct 1330816817","1,093","1,006",87,771
"Precinct 1330816818",913,809,104,591
"Precinct 1330816819",989,891,98,650
"Precinct 1330816820","1,130","1,031",99,843
"Precinct 1330816821","1,088",971,117,746
"Precinct 1330816822","1,180","1,080",100,800
"Precinct 1330816823","1,115","1,052",63,923
"Precinct 1330816824","1,089","1,004",85,882
"Precinct 1330816825","1,049",961,88,816
"Precinct 1330816826","1,394","1,172",222,836
"Precinct 1330816827","1,494","1,277",217,"1,064"
"Precinct 1330816828","2,244","1,751",493,"1,210"
"Precinct 1330816829","1,813","1,580",233,"1,317"
"Precinct 1330816830","1,263","1,116",147,923
"Precinct 1330816831","1,032",990,42,890
"Precinct 1330816832","1,016",961,55,886
"Precinct 1330816833","1,179","1,101",78,970
"Precinct 1330816834","1,156","1,043",113,915
"Precinct 1330816835","1,145","1,066",79,948
"Precinct 1330816836","1,675","1,245",430,974
"Precinct 1330816837","1,476","1,209",267,880
"Precinct 1330816838","1,423","1,183",240,764
"Precinct 1330816839",580,537,43,472
"Precinct 1330816840",590,553,37,503
"Precinct 1330816847",675,599,76,487
"Precinct 1340116101","1,799","1,566",233,783
"Precinct 1340116102","1,772","1,563",209,762
"Precinct 1340216201","2,227","1,809",418,"1,397"
"Precinct 1340216202","1,858","1,412",446,"1,003"
"Precinct 1340216203","1,380","1,086",294,795
"Precinct 1340416401","1,465","1,343",122,"1,035"
"Precinct 1340416402","1,921","1,536",385,"1,154"
"Precinct 1340416403","1,414","1,276",138,896
"Precinct 1340416404","1,556","1,382",174,"1,113"
"Precinct 1340416405","1,402","1,287",115,"1,047"
"Precinct 1340416406","1,060",973,87,787
"Precinct 1340416407","1,599","1,430",169,"1,181"
"Precinct 1340416408","1,715","1,561",154,"1,219"
"Precinct 1340416409","1,334","1,245",89,"1,037"
"Precinct 1340416410","1,218","1,096",122,873
"Precinct 1340416411","1,276","1,143",133,861
"Precinct 1340416412","1,542","1,378",164,"1,136"
"Precinct 1340416413","1,567","1,451",116,"1,248"
"Precinct 1340416414","1,492","1,355",137,"1,147"
"Precinct 1340416415","1,932","1,712",220,"1,438"
"Precinct 1340416416","1,462","1,301",161,"1,045"
"Precinct 1340416417","1,221","1,108",113,904
"Precinct 1340416418","1,870","1,608",262,"1,246"
"Precinct 1340416419","1,512","1,367",145,"1,172"
"Precinct 1340416420","1,536","1,364",172,974
"Precinct 1340416421","1,687","1,490",197,"1,225"
"Precinct 1340416422","1,592","1,426",166,"1,153"
"Precinct 1340416423","1,563","1,303",260,792
"Precinct 1340416424","1,761","1,524",237,"1,080"
"Precinct 1340416425","1,452","1,221",231,707
"Precinct 1340416426","2,338","1,855",483,"1,181"
"Precinct 1340416427",601,454,147,138
"Precinct 1340416428","1,697","1,427",270,769
"Precinct 1340416429","1,574","1,403",171,841
"Precinct 1340416430","1,316","1,164",152,746
"Precinct 1340416431","1,615","1,481",134,934
"Precinct 1340416432","1,496","1,316",180,820
"Precinct 1340416433","1,593","1,449",144,854
"Precinct 1340416434","1,568","1,370",198,802
"Precinct 1340416435","1,384","1,206",178,624
"Precinct 1340416436","1,544","1,295",249,574
"Precinct 1340516501","1,404","1,253",151,863
"Precinct 1340516502","1,102",956,146,519
"Precinct 1340516503","1,505","1,287",218,643
"Precinct 1340516504","1,226","1,092",134,567
"Precinct 1340516505","1,330","1,188",142,727
"Precinct 1340516506","1,267","1,146",121,911
"Precinct 1340516507","1,451","1,303",148,860
"Precinct 1340516508","1,075",966,109,780
"Precinct 1340516509","1,660","1,412",248,"1,045"
"Precinct 1340516510","1,121",869,252,511
"Precinct 1340516511","1,495","1,321",174,994
"Precinct 1340516512","1,836","1,531",305,"1,169"
"Precinct 1340516513","1,629","1,395",234,"1,123"
"Precinct 1340516514","1,935","1,566",369,"1,154"
"Precinct 1340516515","1,928","1,629",299,"1,111"
"Precinct 1340516517","1,023",863,160,643
"Precinct 1340516518",996,843,153,601
"Precinct 1340516519","1,884","1,304",580,824
"Precinct 1340516522","2,097","1,788",309,"1,299"
"Precinct 1340516523","1,960","1,561",399,"1,208"
"Precinct 1340516524","1,626","1,287",339,986
"Precinct 1340516525","1,671","1,278",393,891
"Precinct 1340516526","1,206",939,267,500
"Precinct 1340516527","1,846","1,373",473,730
"Precinct 1340516528","1,917","1,531",386,"1,050"
"Precinct 1340516529","2,239","1,878",361,"1,477"
"Precinct 1340516531","1,929","1,670",259,887
"Precinct 1340516540","1,534","1,313",221,"1,005"
"Precinct 1340516541","2,035","1,680",355,"1,275"
"Precinct 1340516542","1,353","1,113",240,810
"Precinct 1340516543","1,273","1,088",185,758
"Precinct 1340816809","1,258",956,302,553
Dolores,"1,740","1,492",248,"1,230"
"Precinct 3065817001",298,237,61,170
"Precinct 3065817002",364,311,53,264
"Precinct 3065817003",408,364,44,309
"Precinct 3065817004",670,580,90,487
Douglas,"252,779","226,015","26,764","179,981"
"Precinct 4043918106",311,276,35,233
"Precinct 4043918107",829,781,48,656
"Precinct 4043918306","1,146","1,073",73,887
"Precinct 4043918317",924,861,63,718
"Precinct 4043918332","1,526","1,409",117,"1,153"
"Precinct 4043918345","1,265","1,150",115,949
"Precinct 4043918346","1,076","1,023",53,853
"Precinct 4043918358",696,654,42,552
"Precinct 4043918401","1,157","1,061",96,893
"Precinct 4043918402",917,862,55,740
"Precinct 4043918403",297,251,46,185
"Precinct 4043918404","1,732","1,573",159,"1,366"
"Precinct 4043918405","1,707","1,573",134,"1,315"
"Precinct 4043918406",951,853,98,685
"Precinct 4043918508","1,878","1,721",157,"1,431"
"Precinct 4043918511","1,220","1,092",128,901
"Precinct 4043918512","1,562","1,422",140,"1,135"
"Precinct 4044418302","2,096","1,866",230,"1,411"
"Precinct 4044418303","1,212","1,017",195,686
"Precinct 4044418304","1,924","1,550",374,"1,018"
"Precinct 4044418309","2,153","1,768",385,"1,232"
"Precinct 4044418315","1,879","1,693",186,"1,348"
"Precinct 4044418316","1,349","1,158",191,847
"Precinct 4044418318","1,419","1,290",129,"1,043"
"Precinct 4044418319","1,233","1,083",150,842
"Precinct 4044418320","1,294","1,141",153,866
"Precinct 4044418321","1,486","1,307",179,966
"Precinct 4044418322","1,849","1,498",351,"1,111"
"Precinct 4044418323","1,180","1,046",134,825
"Precinct 4044418324","1,705","1,545",160,"1,250"
"Precinct 4044418325","1,303","1,178",125,903
"Precinct 4044418326","1,859","1,699",160,"1,399"
"Precinct 4044418327","1,564","1,449",115,"1,110"
"Precinct 4044418328","1,291","1,156",135,909
"Precinct 4044418329","2,182","1,985",197,"1,607"
"Precinct 4044418330","2,082","1,909",173,"1,610"
"Precinct 4044418331","1,923","1,726",197,"1,413"
"Precinct 4044418334","2,007","1,770",237,"1,371"
"Precinct 4044418350","1,728","1,480",248,"1,037"
"Precinct 4044418352","1,429","1,311",118,"1,065"
"Precinct 4044418353","1,470","1,259",211,929
"Precinct 4044418356","1,319","1,010",309,653
"Precinct 4044418357","1,354","1,238",116,979
"Precinct 4044518108","1,344","1,224",120,926
"Precinct 4044518109","1,708","1,531",177,"1,215"
"Precinct 4044518110","1,948","1,723",225,"1,257"
"Precinct 4044518111","1,292","1,155",137,906
"Precinct 4044518112","2,189","1,958",231,"1,480"
"Precinct 4044518113","1,858","1,684",174,"1,369"
"Precinct 4044518114","2,132","1,950",182,"1,564"
"Precinct 4044518116","1,295","1,138",157,873
"Precinct 4044518117","1,740","1,505",235,"1,157"
"Precinct 4044518118","1,542","1,312",230,957
"Precinct 4044518261","1,711","1,568",143,"1,328"
"Precinct 4044518262","1,747","1,521",226,"1,223"
"Precinct 4044518263","1,801","1,648",153,"1,411"
"Precinct 4044518264","1,492","1,112",380,718
"Precinct 4044518269","1,499","1,359",140,"1,150"
"Precinct 4044518333","1,846","1,627",219,"1,272"
"Precinct 4044518335",769,702,67,604
"Precinct 4044518336","1,478","1,319",159,"1,074"
"Precinct 4044518337","1,368","1,126",242,843
"Precinct 4044518338","1,184","1,056",128,826
"Precinct 4044518339","1,703","1,532",171,"1,161"
"Precinct 4044518340","1,619","1,478",141,"1,194"
"Precinct 4044518341","1,413","1,326",87,"1,104"
"Precinct 4044518342","1,672","1,522",150,"1,268"
"Precinct 4044518343","1,829","1,600",229,"1,228"
"Precinct 4044518344","2,029","1,899",130,"1,471"
"Precinct 4044518347",986,864,122,645
"Precinct 4044518348","1,936","1,691",245,"1,356"
"Precinct 4044518349","1,441","1,392",49,"1,144"
"Precinct 4044518354","2,116","1,938",178,"1,557"
"Precinct 4044518359","1,043",957,86,778
"Precinct 4044518360","1,069",988,81,813
"Precinct 4044518501",794,647,147,468
"Precinct 4044518502","1,533","1,335",198,"1,029"
"Precinct 4044518503","1,830","1,533",297,"1,106"
"Precinct 4044518504","1,859","1,658",201,"1,224"
"Precinct 4044518505","1,557","1,353",204,995
"Precinct 4044518506","1,183","1,014",169,711
"Precinct 4044518507","1,722","1,552",170,"1,223"
"Precinct 4044518509","1,783","1,632",151,"1,344"
"Precinct 4044518510","2,435","2,208",227,"1,795"
"Precinct 4044518513","1,941","1,609",332,"1,226"
"Precinct 4044518514","1,557","1,314",243,968
"Precinct 4303918101","1,514","1,408",106,"1,139"
"Precinct 4303918102","2,042","1,853",189,"1,476"
"Precinct 4303918103","1,938","1,713",225,"1,319"
"Precinct 4303918104",654,601,53,482
"Precinct 4303918105","1,795","1,677",118,"1,443"
"Precinct 4303918115","1,524","1,370",154,"1,073"
"Precinct 4304418206","1,137","1,029",108,820
"Precinct 4304418207","1,517","1,288",229,905
"Precinct 4304418208","1,828","1,296",532,828
"Precinct 4304418232","1,131","1,051",80,904
"Precinct 4304418233","1,953","1,796",157,"1,475"
"Precinct 4304418245","2,191","1,953",238,"1,612"
"Precinct 4304418257","1,488","1,203",285,873
"Precinct 4304418266","1,804","1,675",129,"1,373"
"Precinct 4304418267","1,129","1,011",118,817
"Precinct 4304418301","2,043","1,556",487,"1,055"
"Precinct 4304418307","1,659","1,443",216,"1,060"
"Precinct 4304418308","1,624","1,472",152,"1,199"
"Precinct 4304418311","1,627","1,328",299,932
"Precinct 4304418312","1,253","1,151",102,965
"Precinct 4304418313","1,117","1,046",71,864
"Precinct 4304418314","1,130","1,024",106,851
"Precinct 4304418351","1,774","1,641",133,"1,299"
"Precinct 4304418355","1,165","1,131",34,854
"Precinct 4304518258","1,794","1,646",148,"1,383"
"Precinct 4304518259","1,742","1,622",120,"1,341"
"Precinct 4304518260","1,160","1,077",83,939
"Precinct 4304518268",956,872,84,747
"Precinct 6043918305","1,754","1,692",62,"1,431"
"Precinct 6043918310",807,765,42,648
"Precinct 6303918243","1,833","1,718",115,"1,422"
"Precinct 6303918247","1,647","1,509",138,"1,278"
"Precinct 6303918249","1,557","1,432",125,"1,201"
"Precinct 6303918250","1,339","1,176",163,946
"Precinct 6303918251","1,792","1,598",194,"1,287"
"Precinct 6303918252","1,735","1,522",213,"1,178"
"Precinct 6303918253",959,888,71,744
"Precinct 6303918254","1,607","1,473",134,"1,227"
"Precinct 6303918255","1,201","1,063",138,849
"Precinct 6303918256","1,015",913,102,766
"Precinct 6303918265","1,398","1,338",60,"1,124"
"Precinct 6304318201","1,539","1,477",62,"1,330"
"Precinct 6304318202","1,933","1,681",252,"1,365"
"Precinct 6304318203","1,471","1,368",103,"1,108"
"Precinct 6304318204","1,472","1,144",328,763
"Precinct 6304318205","2,117","1,682",435,"1,261"
"Precinct 6304318209","1,614","1,492",122,"1,237"
"Precinct 6304318210","1,844","1,629",215,"1,296"
"Precinct 6304318211","2,067","1,775",292,"1,432"
"Precinct 6304318212","1,473","1,357",116,"1,102"
"Precinct 6304318213","1,235","1,175",60,"1,045"
"Precinct 6304318214",767,710,57,618
"Precinct 6304318215","1,224","1,141",83,923
"Precinct 6304318216",943,879,64,760
"Precinct 6304318217","1,307","1,188",119,915
"Precinct 6304318218","1,101","1,039",62,879
"Precinct 6304318219","1,079",979,100,799
"Precinct 6304318220","1,162","1,039",123,856
"Precinct 6304318221","1,013",957,56,824
"Precinct 6304318222","1,641","1,471",170,"1,167"
"Precinct 6304318223","1,913","1,746",167,"1,443"
"Precinct 6304318224","1,744","1,620",124,"1,357"
"Precinct 6304318225","2,162","1,904",258,"1,476"
"Precinct 6304318226","1,338","1,233",105,"1,032"
"Precinct 6304318227","2,037","1,902",135,"1,634"
"Precinct 6304318228","1,080",988,92,798
"Precinct 6304318229","1,311","1,204",107,987
"Precinct 6304318230","1,189","1,073",116,871
"Precinct 6304318231","1,636","1,485",151,"1,195"
"Precinct 6304318234","1,065","1,007",58,849
"Precinct 6304318235","1,802","1,641",161,"1,362"
"Precinct 6304318236","2,105","1,907",198,"1,608"
"Precinct 6304318237","1,473","1,360",113,"1,164"
"Precinct 6304318238","1,385","1,294",91,"1,085"
"Precinct 6304318239","2,029","1,880",149,"1,558"
"Precinct 6304318240","1,518","1,233",285,896
"Precinct 6304318241","1,470","1,311",159,"1,021"
"Precinct 6304318242","1,186","1,039",147,805
"Precinct 6304318244","1,565","1,445",120,"1,179"
"Precinct 6304318246","1,751","1,610",141,"1,300"
"Precinct 6304318248","1,155","1,061",94,898
"Precinct 6304318270","1,053",842,211,611
Eagle,"36,504","31,036","5,468","22,692"
"Precinct 2052619001",226,189,37,122
"Precinct 2052619002","1,055",794,261,552
"Precinct 2052619003",974,803,171,542
"Precinct 2052619011",935,704,231,435
"Precinct 2052619012","1,752","1,368",384,952
"Precinct 2052619013","1,142",926,216,670
"Precinct 2052619014",815,672,143,490
"Precinct 2052619015","1,897","1,409",488,952
"Precinct 2052619019","1,741","1,441",300,"1,041"
"Precinct 3052619004","1,095",982,113,756
"Precinct 3052619005","2,157","1,846",311,"1,386"
"Precinct 3052619006","1,014",893,121,584
"Precinct 3052619007","1,413","1,264",149,"1,034"
"Precinct 3052619008",739,657,82,430
"Precinct 3052619009","1,189","1,039",150,707
"Precinct 3052619010",179,160,19,123
"Precinct 3052619016",693,631,62,502
"Precinct 3052619017","1,079",898,181,640
"Precinct 3052619018","1,060",838,222,616
"Precinct 3052619020","1,537","1,380",157,"1,079"
"Precinct 3052619021",325,293,32,229
"Precinct 3052619022","1,607","1,331",276,846
"Precinct 3052619023","1,559","1,348",211,853
"Precinct 3052619024","1,764","1,531",233,"1,165"
"Precinct 3052619025","1,410","1,294",116,"1,038"
"Precinct 3052619026","1,341","1,212",129,910
"Precinct 3052619027","1,973","1,782",191,"1,463"
"Precinct 3052619028","1,084",967,117,751
"Precinct 3052619029","1,542","1,299",243,965
"Precinct 3052619030","1,207","1,085",122,859
"El Paso","474,607","401,237","73,370","279,921"
"Precinct 5021821745",296,270,26,216
"Precinct 5021921452","1,731","1,566",165,"1,109"
"Precinct 5021921500",456,399,57,283
"Precinct 5021921501","1,176","1,035",141,741
"Precinct 5021921502","1,001",892,109,650
"Precinct 5021921521","1,482","1,221",261,763
"Precinct 5021921522","1,559","1,367",192,985
"Precinct 5021921523","1,299","1,147",152,838
"Precinct 5021921524","1,694","1,562",132,"1,215"
"Precinct 5021921554",180,159,21,121
"Precinct 5021921560","1,451","1,265",186,847
"Precinct 5021921653",213,199,14,166
"Precinct 5021921828",592,522,70,338
"Precinct 5022021740","2,206","1,963",243,"1,549"
"Precinct 5022121632","2,439","1,924",515,"1,056"
"Precinct 5022121639","2,505","1,978",527,"1,138"
"Precinct 5022121652","1,331","1,191",140,807
"Precinct 5022121801","1,616","1,298",318,701
"Precinct 5022121802","1,586","1,346",240,781
"Precinct 5022121803","1,790","1,451",339,797
"Precinct 5022121804","1,304","1,072",232,667
"Precinct 5022121805","1,527","1,300",227,754
"Precinct 5022121806","1,284","1,103",181,686
"Precinct 5022121807","1,453","1,134",319,627
"Precinct 5022121808","1,840","1,432",408,792
"Precinct 5022121839","1,118",950,168,670
"Precinct 5091421215","2,285","1,953",332,"1,502"
"Precinct 5091421216","2,425","2,195",230,"1,660"
"Precinct 5091421217","1,083","1,021",62,836
"Precinct 5091421220","1,821","1,652",169,"1,251"
"Precinct 5091421221","1,900","1,715",185,"1,280"
"Precinct 5091421222","2,157","1,976",181,"1,524"
"Precinct 5091421223","1,679","1,532",147,"1,149"
"Precinct 5091421224","1,786","1,578",208,"1,158"
"Precinct 5091421225","1,994","1,778",216,"1,401"
"Precinct 5091421227","1,424","1,272",152,973
"Precinct 5091421230","1,807","1,664",143,"1,296"
"Precinct 5091421231","1,776","1,589",187,"1,169"
"Precinct 5091421232","1,769","1,527",242,"1,176"
"Precinct 5091421233","1,834","1,637",197,"1,257"
"Precinct 5091421234","1,833","1,667",166,"1,298"
"Precinct 5091421236","1,324","1,167",157,900
"Precinct 5091421237","1,367","1,161",206,816
"Precinct 5091421238","1,437","1,268",169,917
"Precinct 5091421246","1,568","1,268",300,876
"Precinct 5091421247","1,288","1,125",163,799
"Precinct 5091521445","1,630","1,415",215,956
"Precinct 5091521454","1,453","1,327",126,945
"Precinct 5091821107","1,936","1,563",373,"1,021"
"Precinct 5091821108","1,393","1,278",115,991
"Precinct 5091821109",243,209,34,162
"Precinct 5091921209","1,702","1,560",142,"1,260"
"Precinct 5091921210","1,770","1,567",203,"1,243"
"Precinct 5091921211","1,542","1,340",202,"1,053"
"Precinct 5091921212","1,848","1,685",163,"1,386"
"Precinct 5091921213","1,432","1,332",100,"1,056"
"Precinct 5091921214","1,802","1,684",118,"1,372"
"Precinct 5091921218","1,138","1,059",79,845
"Precinct 5091921219","1,443","1,349",94,"1,084"
"Precinct 5091921303","1,551","1,414",137,"1,135"
"Precinct 5091921304","1,564","1,410",154,"1,055"
"Precinct 5091921310","1,870","1,726",144,"1,415"
"Precinct 5091921311","2,031","1,882",149,"1,521"
"Precinct 5091921312","1,953","1,794",159,"1,515"
"Precinct 5091921313","1,713","1,540",173,"1,202"
"Precinct 5091921314","1,587","1,462",125,"1,214"
"Precinct 5091921315","1,495","1,372",123,"1,088"
"Precinct 5091921316","1,372","1,281",91,"1,061"
"Precinct 5091921317","2,079","1,915",164,"1,580"
"Precinct 5091921318","1,495","1,397",98,"1,153"
"Precinct 5091921319","1,570","1,334",236,"1,048"
"Precinct 5091921320","1,614","1,491",123,"1,204"
"Precinct 5091921321","1,763","1,634",129,"1,363"
"Precinct 5091921322","1,612","1,488",124,"1,227"
"Precinct 5091921440","1,795","1,660",135,"1,355"
"Precinct 5091921441","1,402","1,279",123,"1,015"
"Precinct 5091921442","2,017","1,815",202,"1,342"
"Precinct 5091921443","1,504","1,330",174,926
"Precinct 5091921444","1,989","1,834",155,"1,384"
"Precinct 5091921446","1,823","1,543",280,"1,086"
"Precinct 5091921447","1,654","1,420",234,967
"Precinct 5091921448","1,619","1,347",272,922
"Precinct 5091921449","1,244","1,103",141,754
"Precinct 5091921450","1,402","1,261",141,908
"Precinct 5091921525",250,233,17,166
"Precinct 5092021101","1,868","1,607",261,"1,104"
"Precinct 5092021102","1,918","1,777",141,"1,488"
"Precinct 5092021103","2,026","1,711",315,"1,311"
"Precinct 5092021104","2,255","1,943",312,"1,508"
"Precinct 5092021105","1,518","1,418",100,"1,258"
"Precinct 5092021106","2,032","1,638",394,"1,187"
"Precinct 5092021116","1,867","1,700",167,"1,437"
"Precinct 5092021117","1,867","1,516",351,"1,031"
"Precinct 5092021200","1,087",657,430,301
"Precinct 5092021201","1,928","1,780",148,"1,475"
"Precinct 5092021202","1,808","1,650",158,"1,332"
"Precinct 5092021203","1,621","1,490",131,"1,210"
"Precinct 5092021204","1,765","1,624",141,"1,309"
"Precinct 5092021205","1,992","1,721",271,"1,297"
"Precinct 5092021206","1,290","1,120",170,804
"Precinct 5092021207","2,279","1,997",282,"1,567"
"Precinct 5092021208","1,718","1,569",149,"1,265"
"Precinct 5092021226","1,141",969,172,696
"Precinct 5092021301",980,914,66,766
"Precinct 5092021302","2,171","1,915",256,"1,563"
"Precinct 5092021741",523,486,37,404
"Precinct 5101421134","1,419","1,156",263,768
"Precinct 5101421135",821,653,168,422
"Precinct 5101421141","1,774","1,522",252,"1,058"
"Precinct 5101421142","2,094","1,855",239,"1,369"
"Precinct 5101421143","1,115",983,132,700
"Precinct 5101421144","1,661","1,482",179,"1,075"
"Precinct 5101421145","2,072","1,859",213,"1,367"
"Precinct 5101421146","1,073",927,146,693
"Precinct 5101421163","1,722","1,314",408,869
"Precinct 5101421164","1,819","1,570",249,"1,063"
"Precinct 5101421235","1,994","1,752",242,"1,320"
"Precinct 5101421239","1,885","1,567",318,"1,140"
"Precinct 5101421240","1,845","1,631",214,"1,190"
"Precinct 5101421241","2,200","1,923",277,"1,383"
"Precinct 5101421242","2,129","1,714",415,"1,163"
"Precinct 5101421243","2,068","1,718",350,"1,179"
"Precinct 5101421244","2,130","1,782",348,"1,260"
"Precinct 5101421245","1,891","1,641",250,"1,323"
"Precinct 5101521159",435,387,48,282
"Precinct 5101521401","1,800","1,565",235,"1,008"
"Precinct 5101521402","2,137","1,755",382,"1,156"
"Precinct 5101521403","1,860","1,618",242,"1,133"
"Precinct 5101521404","1,851","1,501",350,877
"Precinct 5101521405","1,627","1,385",242,941
"Precinct 5101521406","1,811","1,538",273,"1,037"
"Precinct 5101521407","1,926","1,637",289,"1,123"
"Precinct 5101521408","1,989","1,685",304,"1,220"
"Precinct 5101521417","1,777","1,497",280,928
"Precinct 5101521423","1,414","1,324",90,966
"Precinct 5101621120","1,197","1,065",132,838
"Precinct 5101621121","2,313","1,925",388,"1,430"
"Precinct 5101621122","2,520","1,926",594,"1,124"
"Precinct 5101621123","2,410","2,067",343,"1,320"
"Precinct 5101621124","1,198",826,372,560
"Precinct 5101621125","2,091","1,828",263,"1,357"
"Precinct 5101621126","2,202","1,914",288,"1,331"
"Precinct 5101621127","2,123","1,922",201,"1,419"
"Precinct 5101621128","1,953","1,727",226,"1,389"
"Precinct 5101621129","2,484","1,853",631,"1,119"
"Precinct 5101621130","1,817","1,550",267,"1,084"
"Precinct 5101621131","1,830","1,622",208,"1,175"
"Precinct 5101621132","1,612","1,505",107,"1,167"
"Precinct 5101621136","1,452","1,210",242,869
"Precinct 5101621138","1,044",880,164,658
"Precinct 5101621140","1,674","1,536",138,"1,124"
"Precinct 5101621147","1,798","1,489",309,"1,026"
"Precinct 5101621148","2,239","1,918",321,"1,337"
"Precinct 5101621149","1,969","1,723",246,"1,365"
"Precinct 5101621150","1,611","1,504",107,"1,146"
"Precinct 5101621151","2,066","1,870",196,"1,404"
"Precinct 5101621152","2,066","1,772",294,"1,171"
"Precinct 5101621153","1,994","1,766",228,"1,279"
"Precinct 5101621154","2,371","1,815",556,"1,062"
"Precinct 5101621157","1,719","1,473",246,"1,004"
"Precinct 5101621160","2,045","1,753",292,"1,244"
"Precinct 5101621165","1,962","1,774",188,"1,398"
"Precinct 5101621166","2,248","1,740",508,"1,010"
"Precinct 5101621175","1,154","1,042",112,713
"Precinct 5101621198","1,151",954,197,633
"Precinct 5101821171","1,495","1,342",153,"1,095"
"Precinct 5101821174","1,209",923,286,617
"Precinct 5101821181",222,200,22,136
"Precinct 5101821197","1,179","1,026",153,746
"Precinct 5111721137","1,118",850,268,460
"Precinct 5111721182","1,886","1,580",306,877
"Precinct 5111721183","1,335",996,339,592
"Precinct 5111721184","1,738","1,152",586,538
"Precinct 5111721187","1,842","1,469",373,922
"Precinct 5111721190","1,398","1,003",395,516
"Precinct 5111721193","1,468","1,065",403,615
"Precinct 5111721194","1,234",943,291,525
"Precinct 5111721199","1,248",953,295,567
"Precinct 5111721610","1,923","1,397",526,795
"Precinct 5111721611","2,137","1,717",420,987
"Precinct 5111721612","2,230","1,616",614,877
"Precinct 5111721613","2,107","1,728",379,"1,011"
"Precinct 5111721614","2,514","1,670",844,840
"Precinct 5111721615","1,287","1,037",250,524
"Precinct 5111721616","1,715","1,424",291,792
"Precinct 5111721619","1,295","1,019",276,522
"Precinct 5111721620",975,811,164,512
"Precinct 5111721621","2,256","1,772",484,924
"Precinct 5111721622","2,361","1,829",532,940
"Precinct 5111721623","2,383","1,940",443,"1,134"
"Precinct 5111721624","2,008","1,639",369,858
"Precinct 5111721625","2,098","1,745",353,"1,029"
"Precinct 5111721626","1,756","1,012",744,426
"Precinct 5111721627","1,410","1,149",261,717
"Precinct 5111721901",893,690,203,409
"Precinct 5111821110","1,922","1,545",377,"1,052"
"Precinct 5111821111","1,542","1,266",276,829
"Precinct 5111821112","2,030","1,634",396,"1,137"
"Precinct 5111821113","1,802","1,492",310,"1,082"
"Precinct 5111821114","2,000","1,745",255,"1,289"
"Precinct 5111821118","2,106","1,718",388,"1,150"
"Precinct 5111821119","1,820","1,525",295,"1,091"
"Precinct 5111821133","1,131",977,154,748
"Precinct 5111821168","1,664","1,447",217,"1,193"
"Precinct 5111821169","2,368","1,729",639,847
"Precinct 5111821170","1,836","1,535",301,"1,140"
"Precinct 5111821172","1,653","1,447",206,"1,189"
"Precinct 5111821173","1,864","1,600",264,"1,166"
"Precinct 5111821176","2,757","1,733","1,024","1,264"
"Precinct 5111821177","2,121","1,403",718,918
"Precinct 5111821178","1,815","1,491",324,"1,092"
"Precinct 5111821179","1,748","1,525",223,"1,187"
"Precinct 5111821180","2,150","1,674",476,962
"Precinct 5111821185","1,895","1,456",439,844
"Precinct 5111821186","2,261","1,790",471,"1,064"
"Precinct 5111821188","2,052","1,655",397,"1,065"
"Precinct 5111821189","1,745","1,355",390,854
"Precinct 5111821742","1,461","1,211",250,930
"Precinct 5111821743","1,626","1,342",284,"1,028"
"Precinct 5111821744","1,348","1,220",128,"1,012"
"Precinct 5112021601","1,569","1,241",328,692
"Precinct 5112021605","1,725","1,380",345,776
"Precinct 5121521139","1,511","1,137",374,591
"Precinct 5121521158","1,868","1,647",221,"1,224"
"Precinct 5121521161","1,849","1,686",163,"1,319"
"Precinct 5121521162","1,573","1,388",185,"1,012"
"Precinct 5121521167","1,620","1,412",208,993
"Precinct 5121521191","2,070","1,746",324,"1,191"
"Precinct 5121521192","1,844","1,616",228,"1,034"
"Precinct 5121521195","1,755","1,437",318,826
"Precinct 5121521196",697,347,350,142
"Precinct 5121521409","1,696","1,481",215,"1,128"
